2,14,False,True,False,18
(-12.2, 1.5, 1.0)
plant,bush03(Clone)(-148.0, 0.0, 176.0)
plant,tree04(Clone)(-8.0, 0.0, 93.0)
plant,bush02(Clone)(81.0, 0.0, 57.0)
plant,tree04(Clone)(-76.0, 0.0, 35.0)
plant,tree04(Clone)(-135.0, 0.0, -95.0)
plant,tree02(Clone)(176.0, 0.0, -31.0)
plant,tree04(Clone)(-67.0, 0.0, 133.0)
plant,tree02(Clone)(77.0, 0.0, -50.0)
plant,bush01(Clone)(-131.0, 0.0, 146.0)
plant,bush01(Clone)(16.0, 0.0, 181.0)
plant,bush06(Clone)(-21.0, 0.0, -112.0)
plant,tree03(Clone)(116.0, 0.0, 88.0)
plant,tree01(Clone)(-54.0, 0.0, 89.0)
plant,bush05(Clone)(163.0, 0.0, 155.0)
plant,bush06(Clone)(195.0, 0.0, -157.0)
plant,tree04(Clone)(-145.0, 0.0, 190.0)
plant,bush05(Clone)(103.0, 0.0, -47.0)
plant,tree02(Clone)(156.0, 0.0, 15.0)
plant,bush05(Clone)(-34.0, 0.0, 42.0)
plant,bush01(Clone)(182.0, 0.0, 16.0)
plant,tree02(Clone)(-128.0, 0.0, 97.0)
plant,bush01(Clone)(-36.0, 0.0, -183.0)
plant,tree01(Clone)(-46.0, 0.0, 102.0)
plant,tree03(Clone)(105.0, 0.0, -100.0)
plant,bush05(Clone)(21.0, 0.0, -85.0)
crate,WeaponThreeCrate(Clone)(120.0, 0.0, -108.0)
crate,WeaponOneCrate(Clone)(125.0, 0.0, 84.0)
